locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNHNOIJP_05887	CDS	585				hypothetical protein
MNHNOIJP_05888	CDS	1104				hypothetical protein
MNHNOIJP_05889	CDS	597	bioY		COG1268	Biotin transporter BioY
MNHNOIJP_05890	CDS	177				hypothetical protein
MNHNOIJP_05891	CDS	468				hypothetical protein
MNHNOIJP_05892	CDS	927	cysD_4	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
MNHNOIJP_05893	CDS	354				hypothetical protein
MNHNOIJP_05894	CDS	1050				hypothetical protein
MNHNOIJP_05895	CDS	774	hmuV_1	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
MNHNOIJP_05896	CDS	681				hypothetical protein
MNHNOIJP_05897	CDS	186				hypothetical protein
MNHNOIJP_05898	CDS	174				hypothetical protein
MNHNOIJP_05899	CDS	411				hypothetical protein
MNHNOIJP_05900	CDS	846	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MNHNOIJP_05901	CDS	252				hypothetical protein
MNHNOIJP_05902	CDS	306				hypothetical protein
MNHNOIJP_05903	CDS	522	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
MNHNOIJP_05904	CDS	522				hypothetical protein
MNHNOIJP_05905	CDS	1140				hypothetical protein
MNHNOIJP_05906	CDS	1212	pgm	5.4.2.2	COG0033	Phosphoglucomutase
MNHNOIJP_05907	CDS	1467		1.18.1.2		Ferredoxin--NADP reductase
MNHNOIJP_05908	CDS	576				hypothetical protein
MNHNOIJP_05909	CDS	1032				hypothetical protein
MNHNOIJP_05910	CDS	306		3.1.11.-	COG0258	5'-3' exonuclease
MNHNOIJP_05911	CDS	825				hypothetical protein
MNHNOIJP_05912	CDS	399	helY	3.6.4.-	COG4581	putative helicase HelY
MNHNOIJP_05913	CDS	273				hypothetical protein
MNHNOIJP_05914	CDS	282	ricR_1		COG1937	Copper-sensing transcriptional repressor RicR
MNHNOIJP_05915	CDS	612	betI_23			HTH-type transcriptional regulator BetI
MNHNOIJP_05916	CDS	423				hypothetical protein
MNHNOIJP_05917	CDS	210	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
MNHNOIJP_05918	CDS	498	ribH_2	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
MNHNOIJP_05919	CDS	474				putative protein
MNHNOIJP_05920	CDS	786				hypothetical protein
MNHNOIJP_05921	CDS	801	aes_8	3.1.1.-		Acetyl esterase
MNHNOIJP_05922	CDS	609				hypothetical protein
MNHNOIJP_05923	CDS	276				hypothetical protein
MNHNOIJP_05924	CDS	351				Protein
MNHNOIJP_05925	CDS	171				hypothetical protein
MNHNOIJP_05926	CDS	192				hypothetical protein
MNHNOIJP_05927	CDS	867	dasC		COG0395	Diacetylchitobiose uptake system permease protein DasC
MNHNOIJP_05928	CDS	234				hypothetical protein
MNHNOIJP_05929	CDS	951		4.2.1.150	COG1024	Crotonyl-CoA hydratase
MNHNOIJP_05930	CDS	948				hypothetical protein
MNHNOIJP_05931	CDS	603	sdh	1.1.1.276		Serine 3-dehydrogenase
MNHNOIJP_05932	CDS	1464			COG2308	putative protein
MNHNOIJP_05933	CDS	642				hypothetical protein
MNHNOIJP_05934	CDS	813				hypothetical protein
MNHNOIJP_05935	CDS	231				hypothetical protein
MNHNOIJP_05936	CDS	414				hypothetical protein
MNHNOIJP_05937	CDS	483	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
MNHNOIJP_05938	CDS	1080	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
MNHNOIJP_05939	CDS	567				hypothetical protein
MNHNOIJP_05940	CDS	1332	malT_6			HTH-type transcriptional regulator MalT
MNHNOIJP_05941	CDS	588		1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
MNHNOIJP_05942	CDS	492				hypothetical protein
MNHNOIJP_05943	CDS	513				hypothetical protein
MNHNOIJP_05944	CDS	1191	tuf		COG0050	Elongation factor Tu
MNHNOIJP_05945	CDS	186	fusA_3		COG0480	Elongation factor G
MNHNOIJP_05946	CDS	780				hypothetical protein
MNHNOIJP_05947	CDS	279				hypothetical protein
MNHNOIJP_05948	CDS	516				hypothetical protein
MNHNOIJP_05949	CDS	705	nepI_2		COG2814	Purine ribonucleoside efflux pump NepI
MNHNOIJP_05950	CDS	738				hypothetical protein
MNHNOIJP_05951	CDS	645				hypothetical protein
MNHNOIJP_05952	CDS	210				hypothetical protein
MNHNOIJP_05953	tRNA	74				tRNA-His(gtg)
MNHNOIJP_05954	CDS	699	orn	3.1.-.-	COG1949	Oligoribonuclease
MNHNOIJP_05955	CDS	156				hypothetical protein
MNHNOIJP_05956	CDS	957	nrnA_2	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
MNHNOIJP_05957	CDS	396	alkB_6	1.14.15.3		Alkane 1-monooxygenase
MNHNOIJP_05958	CDS	369	alkB1	1.14.15.3		Alkane 1-monooxygenase 1
MNHNOIJP_05959	CDS	1182	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
MNHNOIJP_05960	CDS	288	regX3_3		COG0745	Sensory transduction protein regX3
MNHNOIJP_05961	CDS	1029	tatC		COG0805	Sec-independent protein translocase protein TatC
MNHNOIJP_05962	CDS	222				hypothetical protein
MNHNOIJP_05963	CDS	918				hypothetical protein
MNHNOIJP_05964	CDS	387				hypothetical protein
MNHNOIJP_05965	CDS	726				hypothetical protein
MNHNOIJP_05966	CDS	219				hypothetical protein
MNHNOIJP_05967	CDS	594				hypothetical protein
MNHNOIJP_05968	CDS	168				hypothetical protein
MNHNOIJP_05969	CDS	894	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MNHNOIJP_05970	CDS	723			COG0589	Universal stress protein
MNHNOIJP_05971	CDS	726				hypothetical protein
MNHNOIJP_05972	CDS	357				hypothetical protein
MNHNOIJP_05973	CDS	396				hypothetical protein
MNHNOIJP_05974	CDS	975	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
MNHNOIJP_05975	CDS	312				hypothetical protein
MNHNOIJP_05976	CDS	759				hypothetical protein
MNHNOIJP_05977	CDS	903	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
MNHNOIJP_05978	CDS	222	mshD_3	2.3.1.189		Mycothiol acetyltransferase
MNHNOIJP_05979	CDS	912				hypothetical protein
MNHNOIJP_05980	CDS	132				hypothetical protein
MNHNOIJP_05981	CDS	387				hypothetical protein
MNHNOIJP_05982	CDS	834	btuD_12	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MNHNOIJP_05983	CDS	1338	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
MNHNOIJP_05984	CDS	453	era_2		COG1159	GTPase Era
MNHNOIJP_05985	CDS	372				hypothetical protein
MNHNOIJP_05986	CDS	195	ttgW			putative HTH-type transcriptional regulator TtgW
MNHNOIJP_05987	CDS	606	amiA2	3.5.1.4	COG0154	Putative amidase AmiA2
MNHNOIJP_05988	CDS	1332				hypothetical protein
MNHNOIJP_05989	CDS	429				hypothetical protein
MNHNOIJP_05990	CDS	1038	fgd_8	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
MNHNOIJP_05991	CDS	324	whiB4			Transcriptional regulator WhiB4
MNHNOIJP_05992	CDS	411				hypothetical protein
MNHNOIJP_05993	CDS	354				hypothetical protein
MNHNOIJP_05994	CDS	846				hypothetical protein
MNHNOIJP_05995	CDS	852	coaA	2.7.1.33	COG1072	Pantothenate kinase
MNHNOIJP_05996	CDS	768	uppS_3	2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
MNHNOIJP_05997	CDS	639				hypothetical protein
MNHNOIJP_05998	CDS	327				hypothetical protein
MNHNOIJP_05999	CDS	348	purH_2		COG0138	Bifunctional purine biosynthesis protein PurH
MNHNOIJP_06000	CDS	720	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
MNHNOIJP_06001	CDS	570				hypothetical protein
MNHNOIJP_06002	CDS	480				putative protein/MSMEI_4575
MNHNOIJP_06003	CDS	987	pepN_2	3.4.11.2		Aminopeptidase N
MNHNOIJP_06004	CDS	606				hypothetical protein
MNHNOIJP_06005	CDS	780	aceA	4.1.3.1	COG2224	Isocitrate lyase
MNHNOIJP_06006	CDS	504	rnj	3.1.-.-	COG0595	Ribonuclease J
MNHNOIJP_06007	CDS	624				hypothetical protein
MNHNOIJP_06008	CDS	225				hypothetical protein
MNHNOIJP_06009	CDS	849	menC_2	4.2.1.113	COG4948	o-succinylbenzoate synthase
MNHNOIJP_06010	CDS	879	yfcJ_1			putative MFS-type transporter YfcJ
MNHNOIJP_06011	CDS	489				hypothetical protein
MNHNOIJP_06012	CDS	360				hypothetical protein
MNHNOIJP_06013	CDS	927				hypothetical protein
MNHNOIJP_06014	CDS	435				hypothetical protein
MNHNOIJP_06015	CDS	663			COG1192	putative protein
MNHNOIJP_06016	CDS	996				hypothetical protein
MNHNOIJP_06017	CDS	171				hypothetical protein
MNHNOIJP_06018	CDS	507				hypothetical protein
MNHNOIJP_06019	CDS	555				hypothetical protein
MNHNOIJP_06020	CDS	609				hypothetical protein
MNHNOIJP_06021	CDS	699				hypothetical protein
MNHNOIJP_06022	CDS	1113				hypothetical protein
MNHNOIJP_06023	CDS	1038	pgk_2	2.7.2.3	COG0126	Phosphoglycerate kinase
MNHNOIJP_06024	CDS	300				hypothetical protein
MNHNOIJP_06025	CDS	270				hypothetical protein
MNHNOIJP_06026	CDS	288				hypothetical protein
MNHNOIJP_06027	CDS	219				hypothetical protein
MNHNOIJP_06028	CDS	366				hypothetical protein
MNHNOIJP_06029	CDS	822	prfC_1			Peptide chain release factor 3
MNHNOIJP_06030	CDS	546		6.2.1.-	COG0318	Putative ligase/MSMEI_5285
MNHNOIJP_06031	CDS	1077	mdtD_5			Putative multidrug resistance protein MdtD
MNHNOIJP_06032	CDS	513	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
MNHNOIJP_06033	CDS	270				hypothetical protein
MNHNOIJP_06034	CDS	360				hypothetical protein
MNHNOIJP_06035	CDS	168				hypothetical protein
MNHNOIJP_06036	CDS	243				hypothetical protein
MNHNOIJP_06037	CDS	228				hypothetical protein
MNHNOIJP_06038	CDS	573				hypothetical protein
MNHNOIJP_06039	CDS	366				hypothetical protein
MNHNOIJP_06040	CDS	123				hypothetical protein
MNHNOIJP_06041	CDS	1410	lcfB_13	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNHNOIJP_06042	CDS	795				hypothetical protein
MNHNOIJP_06043	CDS	459				hypothetical protein
MNHNOIJP_06044	CDS	720				hypothetical protein
MNHNOIJP_06045	CDS	882	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
MNHNOIJP_06046	CDS	660		3.6.3.-		Multidrug efflux ATP-binding/permease protein
MNHNOIJP_06047	CDS	366				hypothetical protein
MNHNOIJP_06048	CDS	351				hypothetical protein
MNHNOIJP_06049	CDS	366				hypothetical protein
MNHNOIJP_06050	CDS	783	vgb	4.2.99.-		Virginiamycin B lyase
MNHNOIJP_06051	CDS	738				hypothetical protein
MNHNOIJP_06052	CDS	474				hypothetical protein
MNHNOIJP_06053	CDS	150				hypothetical protein
MNHNOIJP_06054	CDS	498				hypothetical protein
MNHNOIJP_06055	CDS	1227				hypothetical protein
MNHNOIJP_06056	CDS	387				hypothetical protein
MNHNOIJP_06057	CDS	522				hypothetical protein
MNHNOIJP_06058	CDS	1080	ephA_2	3.3.2.10		Epoxide hydrolase A
MNHNOIJP_06059	CDS	318				hypothetical protein
MNHNOIJP_06060	CDS	540	resE	2.7.13.3		Sensor histidine kinase ResE
MNHNOIJP_06061	CDS	498				hypothetical protein
MNHNOIJP_06062	CDS	90				hypothetical protein
MNHNOIJP_06063	CDS	585				hypothetical protein
MNHNOIJP_06064	CDS	753				hypothetical protein
MNHNOIJP_06065	CDS	1017	zapE_2			Cell division protein ZapE
MNHNOIJP_06066	CDS	534		2.3.1.-	COG0454	putative N-acetyltransferase
MNHNOIJP_06067	CDS	213				hypothetical protein
MNHNOIJP_06068	CDS	1134	priA_2	3.6.4.-	COG1198	putative primosomal protein N'
MNHNOIJP_06069	CDS	168		2.1.1.6	COG4122	Catechol O-methyltransferase
MNHNOIJP_06070	CDS	660				hypothetical protein
MNHNOIJP_06071	CDS	648				hypothetical protein
MNHNOIJP_06072	CDS	822				hypothetical protein
MNHNOIJP_06073	CDS	327				hypothetical protein
MNHNOIJP_06074	CDS	333				hypothetical protein
MNHNOIJP_06075	CDS	729				hypothetical protein
MNHNOIJP_06076	CDS	168				hypothetical protein
MNHNOIJP_06077	CDS	348				hypothetical protein
MNHNOIJP_06078	CDS	537	ruvB_3	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
MNHNOIJP_06079	CDS	543				hypothetical protein
MNHNOIJP_06080	CDS	564				hypothetical protein
MNHNOIJP_06081	CDS	360				hypothetical protein
MNHNOIJP_06082	CDS	1131				hypothetical protein
MNHNOIJP_06083	CDS	594	tetX2	1.14.13.231		Flavin-dependent monooxygenase
MNHNOIJP_06084	CDS	822				hypothetical protein
MNHNOIJP_06085	CDS	843				hypothetical protein
MNHNOIJP_06086	CDS	639		1.14.11.-	COG2175	Alpha-ketoglutarate-dependent sulfate ester dioxygenase
MNHNOIJP_06087	CDS	1137	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
MNHNOIJP_06088	CDS	249				hypothetical protein
MNHNOIJP_06089	CDS	909				hypothetical protein
MNHNOIJP_06090	CDS	204				hypothetical protein
MNHNOIJP_06091	CDS	714	comEC		COG0658	ComE operon protein 3
MNHNOIJP_06092	CDS	756				hypothetical protein
MNHNOIJP_06093	CDS	135				hypothetical protein
MNHNOIJP_06094	CDS	1560		2.4.1.18	COG1543	putative 1,4-alpha-glucan branching enzyme
MNHNOIJP_06095	CDS	303				hypothetical protein
MNHNOIJP_06096	CDS	813				hypothetical protein
MNHNOIJP_06097	CDS	204				hypothetical protein
MNHNOIJP_06098	CDS	765				hypothetical protein
MNHNOIJP_06099	CDS	399				hypothetical protein
MNHNOIJP_06100	CDS	426				hypothetical protein
MNHNOIJP_06101	CDS	192				hypothetical protein
MNHNOIJP_06102	CDS	585				hypothetical protein
MNHNOIJP_06103	CDS	219				hypothetical protein
MNHNOIJP_06104	CDS	183				hypothetical protein
MNHNOIJP_06105	CDS	966				hypothetical protein
MNHNOIJP_06106	CDS	264				hypothetical protein
MNHNOIJP_06107	CDS	798	nei1_2	3.2.2.-	COG0266	Endonuclease 8 1
MNHNOIJP_06108	CDS	405	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
MNHNOIJP_06109	CDS	393				hypothetical protein
MNHNOIJP_06110	CDS	582		1.-.-.-	COG1028	putative oxidoreductase
MNHNOIJP_06111	CDS	732	devR_4		COG2197	DNA-binding transcriptional activator DevR/DosR
MNHNOIJP_06112	CDS	921				hypothetical protein
MNHNOIJP_06113	CDS	393		3.1.2.-	COG2050	Putative esterase
MNHNOIJP_06114	CDS	1005				hypothetical protein
MNHNOIJP_06115	CDS	372				hypothetical protein
MNHNOIJP_06116	CDS	477				hypothetical protein
MNHNOIJP_06117	CDS	402				hypothetical protein
MNHNOIJP_06118	CDS	195	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
MNHNOIJP_06119	CDS	648	dhbB_2	3.3.2.1	COG1535	Isochorismatase
MNHNOIJP_06120	CDS	498				hypothetical protein
MNHNOIJP_06121	CDS	414				hypothetical protein
MNHNOIJP_06122	CDS	429				hypothetical protein
MNHNOIJP_06123	CDS	387				hypothetical protein
MNHNOIJP_06124	tRNA	91				tRNA-Ser(cga)
MNHNOIJP_06125	CDS	1227				hypothetical protein
MNHNOIJP_06126	CDS	1257	speE	2.5.1.16		Polyamine aminopropyltransferase
MNHNOIJP_06127	CDS	372				hypothetical protein
MNHNOIJP_06128	CDS	687	mprA_2		COG0745	Response regulator MprA
MNHNOIJP_06129	CDS	579				hypothetical protein
MNHNOIJP_06130	CDS	912				hypothetical protein
MNHNOIJP_06131	CDS	120				hypothetical protein
MNHNOIJP_06132	CDS	1446				hypothetical protein
MNHNOIJP_06133	CDS	1272			COG1940	Transcriptional regulator
MNHNOIJP_06134	CDS	303				hypothetical protein
MNHNOIJP_06135	CDS	270				hypothetical protein
MNHNOIJP_06136	CDS	171				hypothetical protein
MNHNOIJP_06137	CDS	150				hypothetical protein
MNHNOIJP_06138	CDS	615	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
MNHNOIJP_06139	CDS	288	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
MNHNOIJP_06140	CDS	789	yjcS_3	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
MNHNOIJP_06141	CDS	603				hypothetical protein
MNHNOIJP_06142	CDS	372	furA		COG0735	Transcriptional regulator FurA
MNHNOIJP_06143	CDS	480				hypothetical protein
MNHNOIJP_06144	CDS	861				hypothetical protein
MNHNOIJP_06145	CDS	348				hypothetical protein
MNHNOIJP_06146	CDS	696		2.1.1.-	COG0144	Putative methyltransferase
MNHNOIJP_06147	CDS	378				hypothetical protein
MNHNOIJP_06148	CDS	324				hypothetical protein
MNHNOIJP_06149	CDS	363				hypothetical protein
MNHNOIJP_06150	CDS	789	ywqD	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
MNHNOIJP_06151	CDS	711				putative protein
MNHNOIJP_06152	CDS	645				hypothetical protein
MNHNOIJP_06153	CDS	774				hypothetical protein
MNHNOIJP_06154	CDS	456				hypothetical protein
MNHNOIJP_06155	CDS	573				hypothetical protein
MNHNOIJP_06156	CDS	891	mmgC_7	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNHNOIJP_06157	CDS	432				hypothetical protein
MNHNOIJP_06158	CDS	501				hypothetical protein
MNHNOIJP_06159	CDS	444				hypothetical protein
MNHNOIJP_06160	CDS	465	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
MNHNOIJP_06161	CDS	783	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
MNHNOIJP_06162	CDS	408				hypothetical protein
MNHNOIJP_06163	CDS	714				hypothetical protein
MNHNOIJP_06164	CDS	321				hypothetical protein
MNHNOIJP_06165	CDS	297				hypothetical protein
MNHNOIJP_06166	CDS	624				Thioredoxin-like reductase
MNHNOIJP_06167	CDS	225				hypothetical protein
MNHNOIJP_06168	CDS	264				hypothetical protein
MNHNOIJP_06169	CDS	339				hypothetical protein
MNHNOIJP_06170	CDS	591				hypothetical protein
MNHNOIJP_06171	CDS	156				hypothetical protein
MNHNOIJP_06172	CDS	255				hypothetical protein
MNHNOIJP_06173	CDS	1113	efeN_2	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
MNHNOIJP_06174	CDS	654				hypothetical protein
MNHNOIJP_06175	CDS	543	ctaE	1.9.3.1	COG1845	putative cytochrome c oxidase subunit 3
MNHNOIJP_06176	CDS	924	yfiY_8		COG0614	putative siderophore-binding lipoprotein YfiY
MNHNOIJP_06177	CDS	417				hypothetical protein
MNHNOIJP_06178	CDS	960				hypothetical protein
MNHNOIJP_06179	CDS	747				hypothetical protein
MNHNOIJP_06180	CDS	702		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
MNHNOIJP_06181	CDS	1083	yhdG_5		COG0531	putative amino acid permease YhdG
MNHNOIJP_06182	CDS	354				hypothetical protein
MNHNOIJP_06183	CDS	300				hypothetical protein
MNHNOIJP_06184	CDS	870				hypothetical protein
MNHNOIJP_06185	CDS	561				hypothetical protein
MNHNOIJP_06186	CDS	996				hypothetical protein
MNHNOIJP_06187	CDS	840				hypothetical protein
MNHNOIJP_06188	CDS	606				hypothetical protein
MNHNOIJP_06189	CDS	720	proP_3			Ectoine/proline transporter ProP
MNHNOIJP_06190	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
MNHNOIJP_06191	CDS	507	katA	1.11.1.6	COG0753	Catalase
MNHNOIJP_06192	CDS	687	gph_3	3.1.3.18		Phosphoglycolate phosphatase
MNHNOIJP_06193	CDS	225				hypothetical protein
MNHNOIJP_06194	CDS	1029	cobD		COG1270	Cobalamin biosynthesis protein CobD
MNHNOIJP_06195	CDS	225				hypothetical protein
MNHNOIJP_06196	CDS	645				hypothetical protein
MNHNOIJP_06197	CDS	1473	dtpT		COG3104	Di-/tripeptide transporter
MNHNOIJP_06198	CDS	1341	typA		COG1217	GTP-binding protein TypA/BipA
MNHNOIJP_06199	CDS	573				putative protein
MNHNOIJP_06200	CDS	906	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
MNHNOIJP_06201	CDS	1176	tsdB	1.14.13.220	COG0654	putative NADH-specific resorcinol 4-hydroxylase
MNHNOIJP_06202	CDS	810		2.8.3.-	COG1788	Putative CoA-transferase subunit alpha
MNHNOIJP_06203	CDS	1173	iolD	3.7.1.22	COG3962	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
MNHNOIJP_06204	CDS	255	iolB	5.3.1.30		5-deoxy-glucuronate isomerase
MNHNOIJP_06205	CDS	360	nuoA	7.1.1.-	COG0838	NADH-quinone oxidoreductase subunit A
MNHNOIJP_06206	CDS	195				hypothetical protein
MNHNOIJP_06207	CDS	189			COG0784	putative response regulatory protein
MNHNOIJP_06208	CDS	282				hypothetical protein
MNHNOIJP_06209	CDS	354				hypothetical protein
MNHNOIJP_06210	CDS	354				hypothetical protein
MNHNOIJP_06211	CDS	225				hypothetical protein
MNHNOIJP_06212	CDS	132				hypothetical protein
MNHNOIJP_06213	CDS	414	plaP		COG0531	Low-affinity putrescine importer PlaP
MNHNOIJP_06214	CDS	276				hypothetical protein
MNHNOIJP_06215	CDS	942				hypothetical protein
MNHNOIJP_06216	CDS	432				Universal stress protein
MNHNOIJP_06217	CDS	507				hypothetical protein
MNHNOIJP_06218	CDS	1107				hypothetical protein
MNHNOIJP_06219	CDS	1365				hypothetical protein
MNHNOIJP_06220	CDS	576	kstR2_7			HTH-type transcriptional repressor KstR2
MNHNOIJP_06221	CDS	879				hypothetical protein
MNHNOIJP_06222	CDS	246	hflX			GTPase HflX
MNHNOIJP_06223	CDS	1008				hypothetical protein
MNHNOIJP_06224	CDS	534				hypothetical protein
MNHNOIJP_06225	CDS	1083			COG4962	Putative conjugal transfer protein
MNHNOIJP_06226	CDS	660	fbpC_4	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
MNHNOIJP_06227	CDS	480				hypothetical protein
MNHNOIJP_06228	CDS	273				hypothetical protein
MNHNOIJP_06229	CDS	159				hypothetical protein
MNHNOIJP_06230	CDS	369				hypothetical protein
MNHNOIJP_06231	CDS	420				hypothetical protein
MNHNOIJP_06232	CDS	294				hypothetical protein
MNHNOIJP_06233	CDS	636	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
MNHNOIJP_06234	CDS	660	yfcJ_2			putative MFS-type transporter YfcJ
MNHNOIJP_06235	CDS	450				hypothetical protein
MNHNOIJP_06236	CDS	1008	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
MNHNOIJP_06237	CDS	960				hypothetical protein
MNHNOIJP_06238	CDS	186				hypothetical protein
MNHNOIJP_06239	CDS	93				hypothetical protein
MNHNOIJP_06240	CDS	510				hypothetical protein
MNHNOIJP_06241	CDS	528				hypothetical protein
MNHNOIJP_06242	CDS	252				hypothetical protein
MNHNOIJP_06243	CDS	792	fabG_14	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MNHNOIJP_06244	CDS	336	guaB_2	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
MNHNOIJP_06245	CDS	1161				hypothetical protein
MNHNOIJP_06246	CDS	1338	proS_2	6.1.1.15	COG0442	Proline--tRNA ligase
MNHNOIJP_06247	CDS	975				hypothetical protein
MNHNOIJP_06248	CDS	144				hypothetical protein
MNHNOIJP_06249	CDS	648				hypothetical protein
MNHNOIJP_06250	CDS	339				hypothetical protein
MNHNOIJP_06251	CDS	795				hypothetical protein
MNHNOIJP_06252	CDS	474	pepN_3	3.4.11.2		Aminopeptidase N
MNHNOIJP_06253	CDS	144				hypothetical protein
MNHNOIJP_06254	CDS	1038			COG0596	putative protein
MNHNOIJP_06255	CDS	879			COG0596	putative protein
MNHNOIJP_06256	CDS	609	nadA	2.5.1.72	COG0379	Quinolinate synthase A
MNHNOIJP_06257	CDS	504				hypothetical protein
MNHNOIJP_06258	CDS	699	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
MNHNOIJP_06259	CDS	348				hypothetical protein
MNHNOIJP_06260	CDS	432	mraZ		COG2001	Transcriptional regulator MraZ
MNHNOIJP_06261	CDS	348				hypothetical protein
MNHNOIJP_06262	CDS	324	adk_2	2.7.4.3	COG0563	Adenylate kinase
MNHNOIJP_06263	CDS	798	map-1	3.4.11.18	COG0024	Methionine aminopeptidase 1
MNHNOIJP_06264	CDS	522	aroC	4.2.3.5	COG0082	Chorismate synthase
MNHNOIJP_06265	CDS	510	aroK	2.7.1.71	COG0703	Shikimate kinase
MNHNOIJP_06266	CDS	531				hypothetical protein
MNHNOIJP_06267	CDS	561				hypothetical protein
MNHNOIJP_06268	CDS	414				hypothetical protein
MNHNOIJP_06269	CDS	276	ddn_3	1.-.-.-		Deazaflavin-dependent nitroreductase
MNHNOIJP_06270	CDS	1206				hypothetical protein
MNHNOIJP_06271	tRNA	76				tRNA-His(gtg)
MNHNOIJP_06272	CDS	156				hypothetical protein
MNHNOIJP_06273	CDS	873	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
MNHNOIJP_06274	CDS	519				hypothetical protein
MNHNOIJP_06275	CDS	459	tipA			HTH-type transcriptional activator TipA
MNHNOIJP_06276	CDS	894	malT_7			HTH-type transcriptional regulator MalT
MNHNOIJP_06277	CDS	681			COG0589	Universal stress protein
MNHNOIJP_06278	CDS	717	gloB_3	3.1.2.6		Hydroxyacylglutathione hydrolase
MNHNOIJP_06279	CDS	1218	fadA_8	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MNHNOIJP_06280	CDS	1476	valS_2	6.1.1.9	COG0525	Valine--tRNA ligase
MNHNOIJP_06281	CDS	492	mlaE_2		COG0767	Intermembrane phospholipid transport system permease protein MlaE
MNHNOIJP_06282	CDS	861				hypothetical protein
MNHNOIJP_06283	CDS	825		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
MNHNOIJP_06284	CDS	636				hypothetical protein
MNHNOIJP_06285	CDS	1344	ttuB			Putative tartrate transporter
MNHNOIJP_06286	CDS	1272	recO			DNA repair protein RecO
MNHNOIJP_06287	CDS	177				hypothetical protein
MNHNOIJP_06288	CDS	237				hypothetical protein
MNHNOIJP_06289	CDS	186				hypothetical protein
MNHNOIJP_06290	CDS	246				hypothetical protein
MNHNOIJP_06291	CDS	1224	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
MNHNOIJP_06292	CDS	264	pytH_3	3.1.1.88		Pyrethroid hydrolase
MNHNOIJP_06293	CDS	375				hypothetical protein
MNHNOIJP_06294	CDS	939				hypothetical protein
MNHNOIJP_06295	CDS	597				hypothetical protein
MNHNOIJP_06296	CDS	495				hypothetical protein
MNHNOIJP_06297	CDS	429				hypothetical protein
MNHNOIJP_06298	CDS	390				hypothetical protein
MNHNOIJP_06299	CDS	570				hypothetical protein
MNHNOIJP_06300	CDS	528				hypothetical protein
MNHNOIJP_06301	CDS	828				hypothetical protein
